averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,winner
1.9312240600585928,3.0,14.0,15.0,32.72,3.26,23.0,12.0,93.0,87.0,24.0,29.0,10.0,43.55,2.92,94.0,8.0,12.0,12.0,23.91,1.0,4980.64,666.9765625,68.0,20.0,20.0,0.0,0.0,2.0,5.0,7.0,23.0,0.0,0.83,1
1.7912767028808594,3.0,21.0,5.0,32.17,5.71,23.0,20.0,94.0,0.0,26.0,26.0,7.0,45.2,4.24,1.25,13.0,16.0,10.0,31.6,11.0,5192.96,621.025625,62.0,22.0,22.0,0.0,0.0,0.0,8.0,7.0,26.0,0.0,1.0,0
2.0383561706542968,4.0,14.0,8.0,28.54,5.62,13.0,8.0,97.0,1.37,29.0,22.0,9.0,51.6,3.88,1.32,17.0,20.0,9.0,36.15,2.0,5136.96,749.148203125,82.0,17.0,24.0,0.0,2.0,0.0,9.0,3.0,29.0,0.0,1.32,1
1.794398956298828,5.0,14.0,11.0,29.81,4.21,14.0,16.0,95.0,2.22,28.0,25.0,6.0,44.95,3.37,1.11,11.0,18.0,10.0,30.25,0.0,5183.84,620.9370703125,47.0,8.0,24.0,0.0,1.0,0.0,7.0,8.0,28.0,0.0,1.12,0
1.8910484313964844,3.0,21.0,8.0,33.3,4.3,19.0,16.0,92.0,0.0,23.0,29.0,9.0,49.25,3.29,1.04,7.0,16.0,7.0,29.05,1.86,5122.88,661.9890625,1.1,6.0,19.0,0.0,2.0,0.0,7.0,3.0,23.0,0.0,0.79,1
1.6907571411132811,4.0,13.0,6.0,23.76,4.06,18.0,17.0,91.0,0.0,19.0,19.0,3.0,22.75,3.2,98.0,8.0,15.0,4.0,24.6,1.28,3716.64,428.118671875,5.0,0.0,14.0,1.0,1.0,0.0,5.0,3.0,20.0,0.0,1.0,0
1.812611694335937,5.0,10.0,5.0,20.84,5.26,11.0,11.0,96.0,47.0,25.0,15.0,1.0,32.55,3.0,1.06,13.0,18.0,7.0,28.04,1.0,3203.2,482.47484375,28.0,0.0,23.0,0.0,0.0,1.0,5.0,4.0,25.0,0.0,1.67,1
1.8137896728515623,4.0,17.0,2.0,27.26,4.62,12.0,8.0,95.0,79.0,13.0,19.0,5.0,21.8,2.28,56.0,8.0,10.0,3.0,14.33,74.0,3644.8,420.7940625,23.0,0.0,10.0,0.0,0.0,0.0,2.0,1.0,13.0,0.0,0.68,0
1.6983207702636718,4.0,14.0,4.0,21.73,3.73,14.0,12.0,92.0,72.0,20.0,18.0,6.0,30.95,3.09,1.03,8.0,16.0,4.0,26.62,1.0,3772.64,433.333828125,62.0,0.0,18.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,1.11,1
2.091693267822265,2.0,12.0,10.0,25.43,2.81,13.0,9.0,97.0,28.0,12.0,22.0,7.0,20.5,1.94,56.0,9.0,8.0,4.0,15.55,0.0,3524.64,492.17140625,20.0,2.0,11.0,0.0,0.0,1.0,1.0,2.0,12.0,0.0,0.55,0
1.2631146240234377,3.0,8.0,4.0,15.43,3.17,6.0,6.0,86.0,0.0,15.0,12.0,6.0,30.25,2.17,67.0,8.0,12.0,3.0,19.58,1.0,3205.76,330.40328125,91.0,0.0,15.0,0.0,0.0,1.0,4.0,7.0,15.0,0.0,1.25,1
1.695083770751953,3.0,18.0,3.0,25.44,3.86,14.0,14.0,94.0,0.0,16.0,21.0,6.0,26.1,2.17,78.0,10.0,11.0,5.0,21.72,100.0,3630.24,414.8028125,51.0,0.0,9.0,0.0,1.0,0.0,5.0,3.0,16.0,0.0,0.76,0
1.4847029113769532,4.0,12.0,3.0,18.23,2.45,12.0,13.0,88.0,0.0,21.0,15.0,3.0,37.15,2.98,86.0,15.0,14.0,7.0,24.63,0.0,3116.32,348.59171875,79.0,2.0,20.0,0.0,0.0,0.0,1.0,1.0,21.0,0.0,1.4,1
