averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,matchGame.matchId,winner
1.5483992004394531,6.0,12.0,9.0,28.43,7.43,17.0,9.0,92.0,0.0,31.0,21.0,11.0,46.2,4.52,1.44,13.0,21.0,10.0,39.16,3.0,5692.0,583.211796875,67.0,8.0,27.0,0.0,2.0,0.0,7.0,8.0,31.0,0.0,1.48,10120,1
1.6702880859375,3.0,12.0,15.0,31.56,3.8,22.0,23.0,94.0,35.0,28.0,27.0,12.0,42.3,3.88,1.22,15.0,21.0,7.0,33.81,2.0,5435.84,547.050078125,43.0,4.0,24.0,1.0,0.0,1.0,5.0,3.0,28.0,0.0,1.04,10120,0
1.968691864013672,3.0,26.0,4.0,36.55,6.21,16.0,17.0,91.0,86.0,26.0,30.0,5.0,43.4,3.63,1.01,14.0,17.0,9.0,26.01,0.0,5036.96,717.33421875,59.0,5.0,19.0,0.0,2.0,0.0,6.0,2.0,26.0,0.0,0.87,10120,1
1.993296813964844,5.0,18.0,4.0,27.15,4.16,12.0,8.0,98.0,79.0,33.0,22.0,6.0,48.8,4.16,1.46,13.0,23.0,10.0,36.87,1.0,4021.28,589.8612109375,48.0,2.0,29.0,0.0,3.0,1.0,7.0,6.0,33.0,0.0,1.5,10108,1
1.7726690673828125,4.0,15.0,11.0,28.77,1.95,16.0,12.0,95.0,0.0,9.0,26.0,11.0,21.65,2.64,56.0,6.0,6.0,3.0,17.3,1.0,4225.28,504.6349609375,59.0,4.0,7.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,0.35,10108,0
1.426116943359375,5.0,11.0,0.0,16.83,5.83,6.0,6.0,94.0,0.0,14.0,11.0,6.0,29.4,3.1,67.0,5.0,11.0,3.0,18.17,31.0,4583.36,469.4096484375,85.0,3.0,13.0,0.0,3.0,0.0,5.0,3.0,14.0,0.0,1.27,10108,1
1.7597573852539063,3.0,17.0,5.0,23.99,1.75,14.0,13.0,94.0,0.0,16.0,22.0,8.0,29.65,3.45,71.0,8.0,13.0,3.0,21.14,3.0,4458.24,504.3955859375,59.0,0.0,11.0,0.0,0.0,0.0,6.0,4.0,14.0,0.0,0.73,10108,0
1.8955046081542968,5.0,10.0,8.0,23.36,3.59,12.0,16.0,94.0,1.13,21.0,18.0,7.0,40.5,3.28,1.05,6.0,17.0,4.0,26.82,27.0,4361.44,582.1734765625,95.0,2.0,17.0,0.0,1.0,0.0,6.0,1.0,21.0,0.0,1.17,10108,1
2.173047790527344,4.0,18.0,5.0,29.36,6.36,20.0,7.0,98.0,96.0,25.0,23.0,9.0,33.15,3.44,1.16,9.0,19.0,6.0,28.19,0.0,4396.16,665.28296875,14.0,2.0,21.0,1.0,1.0,0.0,6.0,6.0,25.0,0.0,1.09,10108,0
1.6390773010253907,6.0,9.0,5.0,21.49,6.77,7.0,4.0,97.0,0.0,25.0,14.0,1.0,34.65,3.64,16.0,13.0,17.0,8.0,25.32,47.0,4576.32,514.5748828125,65.0,2.0,24.0,0.0,4.0,0.0,2.0,9.0,26.0,0.0,1.79,10108,1
