averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,totalObjectivesCaptured,objectiveTiersContributed,matchGame.matchId,winner
1.865697479248047,6.0,12.0,5.0,0.0,0.0,19.18,2.18,11.0,10.0,89.0,87.0,16.0,17.0,7.0,18.25,2.78,70.0,13.0,12.0,4.0,21.3,0.0,5369.76,626.80046875,13.0,1.0,0.0,0.0,3.0,16.0,0.0,0.94,1.0,1.0,8661,1
1.9110142517089843,4.0,18.0,2.0,0.0,0.0,23.97,2.95,17.0,15.0,97.0,1.7,12.0,20.0,3.0,15.5,2.35,63.0,7.0,8.0,4.0,16.79,40.0,5210.72,594.29609375,10.0,0.0,0.0,0.0,3.0,12.0,0.0,0.6,2.0,5.0,8661,0
1.5873320007324219,4.0,11.0,4.0,0.0,0.0,18.69,2.93,9.0,9.0,89.0,0.0,15.0,14.0,5.0,19.75,2.43,69.0,5.0,12.0,3.0,19.35,32.0,5505.76,538.7306640625,14.0,0.0,0.0,1.0,4.0,15.0,0.0,1.07,0.0,0.0,8661,1
2.0208804321289064,4.0,17.0,7.0,0.0,0.0,28.0,3.68,9.0,7.0,95.0,0.0,19.0,24.0,7.0,27.0,3.41,87.0,16.0,14.0,5.0,21.93,39.0,5077.44,681.151640625,17.0,0.0,2.0,1.0,2.0,19.0,0.0,0.79,2.0,5.0,8661,0
1.6541427612304687,4.0,12.0,4.0,0.0,0.0,20.19,3.12,17.0,9.0,95.0,93.0,20.0,16.0,5.0,24.25,5.41,95.0,10.0,15.0,5.0,23.49,28.0,5393.44,555.886796875,18.0,1.0,1.0,1.0,3.0,20.0,0.0,1.25,1.0,3.0,8661,1
1.6969076538085937,3.0,11.0,4.0,0.0,0.0,17.74,2.74,13.0,11.0,94.0,0.0,13.0,15.0,3.0,16.25,2.29,58.0,10.0,11.0,3.0,15.06,0.0,5473.76,534.2562890625,10.0,1.0,0.0,0.0,4.0,14.0,0.0,0.87,2.0,6.0,8661,0
1.7125950622558594,6.0,14.0,2.0,0.0,0.0,20.35,4.01,9.0,10.0,96.0,0.0,27.0,16.0,0.0,30.25,3.6,1.11,11.0,22.0,5.0,28.85,81.0,5420.0,563.4056640625,21.0,0.0,1.0,0.0,5.0,27.0,0.0,1.69,1.0,4.0,8661,1
2.1603546142578125,5.0,15.0,4.0,0.0,0.0,24.35,5.35,6.0,7.0,96.0,1.07,19.0,19.0,6.0,21.75,2.92,87.0,10.0,16.0,3.0,23.22,28.0,5270.72,722.023515625,17.0,0.0,0.0,0.0,5.0,19.0,0.0,1.0,2.0,0.0,8661,0
1.6880509948730469,7.0,16.0,2.0,1.0,0.0,24.91,5.79,14.0,16.0,94.0,0.0,25.0,18.0,1.0,30.25,3.55,1.12,8.0,22.0,2.0,29.56,89.0,7198.72,720.269921875,20.0,0.0,0.0,0.0,5.0,25.0,0.0,1.39,2.0,7.0,8660,1
1.606861572265625,4.0,14.0,5.0,0.0,0.0,26.99,7.59,12.0,11.0,87.0,0.0,25.0,19.0,3.0,30.25,4.13,1.16,19.0,23.0,2.0,28.53,69.0,7107.52,688.768828125,23.0,0.0,5.0,0.0,4.0,25.0,0.0,1.32,2.0,5.0,8660,0
