averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalAces,totalInVictimFovKills,totalDefuserKills,totalFirstBloodKills,totalLongshotKills,totalPlanterKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,bombsPlanted,bombsDefused,sneakDefuses,matchGame.matchId,winner
92.0959701538086,3.0,6.0,0.0,1.0,0.0,8.72,2.1,5.0,4.0,67.0,38.0,6.0,6.0,0.0,6.0,67.0,26.0,6.0,5.0,0.0,7.18,0.0,5662.88,458.7793359375,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,10901,0
1.214878463745117,3.0,5.0,0.0,3.0,1.0,8.26,1.74,8.0,7.0,79.0,79.0,6.0,6.0,1.0,6.25,1.15,38.0,4.0,3.0,0.0,11.24,0.0,6274.4,549.5558984375,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,10901,1
68.61618041992188,1.0,4.0,0.0,2.0,2.0,6.92,63.0,6.0,7.0,57.0,0.0,4.0,6.0,3.0,8.5,1.15,22.0,4.0,2.0,0.0,7.98,0.0,5357.44,360.2104296875,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.67,2.0,1.0,0.0,10901,0
1.349983673095703,3.0,3.0,0.0,1.0,2.0,8.14,3.14,9.0,9.0,91.0,0.0,7.0,5.0,0.0,7.0,1.63,31.0,3.0,6.0,0.0,8.92,1.0,7019.68,603.8691015625,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.4,0.0,0.0,0.0,10901,1
97.64804077148438,2.0,4.0,1.0,1.0,2.0,8.65,1.31,9.0,4.0,74.0,46.0,7.0,7.0,1.0,7.25,100.0,36.0,1.0,5.0,1.0,8.57,0.0,6879.84,559.869921875,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,10120,0
77.04380798339844,1.0,7.0,1.0,0.0,2.0,10.43,43.0,8.0,7.0,60.0,4.0,4.0,10.0,3.0,6.0,1.4,26.0,1.0,1.0,3.0,6.98,0.0,6406.24,480.54375,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,1.0,0.0,0.0,10120,1
98.72252655029295,3.0,4.0,2.0,1.0,0.0,9.46,2.81,10.0,9.0,68.0,26.0,7.0,6.0,4.0,10.75,1.73,39.0,2.0,6.0,0.0,10.91,0.0,6438.72,579.2726171875,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,1.17,0.0,0.0,0.0,10120,0
82.16387176513672,3.0,7.0,1.0,1.0,0.0,9.39,79.0,5.0,4.0,54.0,86.0,10.0,8.0,3.0,16.0,95.0,45.0,5.0,6.0,3.0,12.3,0.0,5366.88,465.6721875,0.0,9.0,0.0,5.0,2.0,1.0,0.0,0.0,10.0,0.0,1.25,1.0,1.0,0.0,10120,1
99.25089263916016,4.0,4.0,2.0,1.0,2.0,10.66,2.35,6.0,6.0,66.0,44.0,13.0,8.0,1.0,12.5,1.56,49.0,3.0,10.0,2.0,12.04,1.0,6355.84,555.688125,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,1.63,0.0,0.0,0.0,10120,0
1.2164094543457034,7.0,2.0,1.0,3.0,2.0,8.96,3.82,6.0,1.0,88.0,100.0,9.0,5.0,1.0,8.75,2.23,55.0,4.0,6.0,0.0,13.4,0.0,8288.48,724.74203125,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.8,0.0,1.0,0.0,10120,1
88.0998306274414,3.0,3.0,3.0,1.0,1.0,8.56,48.0,7.0,5.0,64.0,41.0,5.0,7.0,3.0,10.75,71.0,29.0,0.0,3.0,1.0,7.21,2.0,6564.64,486.0666015625,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.71,3.0,1.0,0.0,10120,0
75.99405670166016,2.0,8.0,1.0,1.0,0.0,9.96,96.0,5.0,3.0,51.0,29.0,5.0,9.0,2.0,7.0,73.0,19.0,2.0,2.0,2.0,4.62,1.0,5270.88,466.9968359375,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.56,2.0,0.0,0.0,10120,1
1.2298751831054688,2.0,6.0,1.0,0.0,0.0,9.81,1.82,6.0,5.0,73.0,26.0,7.0,7.0,0.0,8.0,1.5,38.0,2.0,4.0,3.0,8.62,2.0,4531.52,437.5609375,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,10108,1
98.9822006225586,2.0,4.0,1.0,0.0,3.0,12.02,3.21,10.0,9.0,82.0,0.0,4.0,8.0,6.0,7.25,1.47,27.0,1.0,3.0,1.0,7.1,3.0,4929.28,344.6892578125,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,1.0,0.0,0.0,10108,0
99.5557632446289,3.0,1.0,2.0,2.0,3.0,6.9,29.0,5.0,7.0,66.0,15.0,7.0,6.0,1.0,6.25,92.0,28.0,5.0,5.0,0.0,9.7,0.0,5353.92,382.0370703125,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.17,0.0,1.0,0.0,10108,1
70.12881469726562,2.0,5.0,2.0,0.0,2.0,9.47,47.0,6.0,6.0,50.0,11.0,8.0,9.0,3.0,8.75,78.0,29.0,2.0,4.0,4.0,8.15,2.0,3521.92,273.536484375,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.89,0.0,0.0,0.0,10108,0
73.95262908935547,3.0,4.0,2.0,3.0,1.0,7.91,28.0,6.0,6.0,39.0,18.0,8.0,7.0,1.0,6.0,69.0,34.0,2.0,2.0,3.0,7.96,30.0,3331.04,291.13958984375,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.14,1.0,0.0,0.0,10108,1
1.1539533233642578,3.0,4.0,3.0,1.0,0.0,9.57,1.85,7.0,8.0,69.0,34.0,6.0,7.0,3.0,7.5,82.0,34.0,1.0,5.0,0.0,7.5,1.0,4123.68,426.4451171875,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.86,1.0,0.0,0.0,10108,0
82.70601654052734,4.0,5.0,0.0,1.0,0.0,6.51,84.0,5.0,5.0,57.0,0.0,9.0,5.0,3.0,9.25,1.89,9.0,8.0,6.0,2.0,12.72,10.0,4702.56,300.66345703125,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.8,0.0,0.0,0.0,10108,1
1.042219772338867,5.0,4.0,2.0,3.0,1.0,8.0,4.0,7.0,3.0,63.0,32.0,7.0,7.0,3.0,5.5,84.0,28.0,5.0,4.0,0.0,7.96,0.0,4070.88,375.90171875,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,10108,0
79.53823852539062,2.0,5.0,1.0,0.0,0.0,8.54,1.54,6.0,6.0,54.0,24.0,5.0,6.0,2.0,6.5,55.0,20.0,2.0,5.0,0.0,5.55,0.0,4188.48,450.583671875,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.83,1.0,0.0,0.0,11216,1
88.53128051757812,1.0,5.0,0.0,0.0,2.0,7.72,72.0,5.0,5.0,74.0,15.0,2.0,7.0,1.0,4.25,1.06,13.0,4.0,1.0,1.0,3.77,0.0,5563.68,488.9658984375,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.29,0.0,0.0,0.0,11216,0
61.05797576904297,3.0,4.0,3.0,0.0,0.0,7.87,87.0,5.0,6.0,45.0,43.0,4.0,7.0,2.0,5.0,73.0,21.0,1.0,3.0,1.0,5.23,24.0,4020.32,347.4987890625,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.57,1.0,0.0,0.0,11216,1
72.2422103881836,6.0,6.0,1.0,0.0,0.0,7.24,24.0,8.0,5.0,45.0,37.0,10.0,7.0,1.0,13.25,1.02,43.0,5.0,7.0,3.0,11.02,0.0,3984.8,395.868359375,0.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0,0.0,1.43,1.0,1.0,1.0,11216,0
1.282010498046875,4.0,1.0,0.0,4.0,5.0,9.4,3.4,7.0,4.0,88.0,30.0,12.0,6.0,1.0,9.25,1.32,32.0,4.0,7.0,1.0,12.65,11.0,6518.72,717.494921875,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0,2.0,0.0,0.0,0.0,11216,1
64.11641693115234,4.0,4.0,0.0,4.0,1.0,5.59,59.0,9.0,4.0,63.0,0.0,7.0,5.0,0.0,3.0,84.0,15.0,2.0,3.0,0.0,7.17,0.0,5244.8,364.4444921875,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,1.4,0.0,0.0,0.0,11216,0
88.51688385009766,2.0,5.0,1.0,0.0,0.0,6.35,1.0,9.0,9.0,74.0,0.0,4.0,6.0,2.0,4.75,1.64,18.0,2.0,4.0,0.0,6.42,10.0,5657.28,469.970546875,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.67,0.0,0.0,0.0,11216,1
1.1559367370605467,2.0,4.0,1.0,1.0,1.0,9.3,2.05,4.0,5.0,80.0,74.0,6.0,6.0,4.0,12.75,1.18,31.0,6.0,4.0,1.0,9.75,0.0,6421.12,638.5594140625,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,11216,0
1.0244650268554687,6.0,4.0,1.0,2.0,0.0,9.81,2.16,7.0,8.0,82.0,58.0,10.0,5.0,3.0,10.25,1.8,53.0,6.0,7.0,1.0,15.5,0.0,6354.08,484.317265625,0.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,8649,0
